path,label,split
GigaPath_embeddings_LBC_train/0/3d2ea7da-d7a6-4b5a-8c3b-7ff4e99e614f_pyramid_tiles_files_16_8_20.pt,0,train
GigaPath_embeddings_LBC_train/0/4b71df3c-6e36-4b86-86cd-403d470980d8_pyramid_tiles_files_16_9_13.pt,0,train
GigaPath_embeddings_LBC_train/0/85f754fe-8760-404b-bedb-6d8ac74ced85_pyramid_tiles_files_16_16_25.pt,0,train
GigaPath_embeddings_LBC_train/0/2b545ce7-ebd8-4b3b-98fa-2f442d48bc5e_pyramid_tiles_files_16_8_22.pt,0,train
GigaPath_embeddings_LBC_train/0/cbbb7a3f-b6d5-44d3-9eef-69757a914f2f_pyramid_tiles_files_16_25_7.pt,0,train
GigaPath_embeddings_LBC_train/0/85f754fe-8760-404b-bedb-6d8ac74ced85_pyramid_tiles_files_16_35_29.pt,0,train
GigaPath_embeddings_LBC_train/0/3d2ea7da-d7a6-4b5a-8c3b-7ff4e99e614f_pyramid_tiles_files_16_7_34.pt,0,train
GigaPath_embeddings_LBC_train/0/85f754fe-8760-404b-bedb-6d8ac74ced85_pyramid_tiles_files_16_37_11.pt,0,train
GigaPath_embeddings_LBC_train/0/cbbb7a3f-b6d5-44d3-9eef-69757a914f2f_pyramid_tiles_files_16_24_5.pt,0,train
GigaPath_embeddings_LBC_train/0/4b71df3c-6e36-4b86-86cd-403d470980d8_pyramid_tiles_files_16_15_16.pt,0,train
GigaPath_embeddings_LBC_train/0/3d2ea7da-d7a6-4b5a-8c3b-7ff4e99e614f_pyramid_tiles_files_16_6_13.pt,0,train
GigaPath_embeddings_LBC_train/0/cbbb7a3f-b6d5-44d3-9eef-69757a914f2f_pyramid_tiles_files_16_28_15.pt,0,train
GigaPath_embeddings_LBC_train/0/cbbb7a3f-b6d5-44d3-9eef-69757a914f2f_pyramid_tiles_files_16_23_11.pt,0,train
GigaPath_embeddings_LBC_train/0/2b545ce7-ebd8-4b3b-98fa-2f442d48bc5e_pyramid_tiles_files_16_24_22.pt,0,train
GigaPath_embeddings_LBC_train/0/3d2ea7da-d7a6-4b5a-8c3b-7ff4e99e614f_pyramid_tiles_files_16_33_20.pt,0,train
